,surface,tourney_level,second_id,second_hand,second_ht,second_age,first_id,first_hand,first_ht,first_age,best_of,round,second_rank,second_rank_points,first_rank,first_rank_points,tourney_year,label
133673,1.0,4.0,105676.0,1.0,180.0,25.4,104607.0,1.0,196.0,30.6,3.0,5.0,13.0,2570.0,8.0,2940.0,2016.0,0.0
158644,3.0,2.0,104527.0,1.0,183.0,28.6,103970.0,1.0,175.0,31.5,3.0,8.0,8.0,3330.0,3.0,5800.0,2013.0,0.0
191647,3.0,3.0,105683.0,1.0,196.0,27.6,104545.0,1.0,206.0,33.3,5.0,5.0,24.0,1575.0,11.0,3200.0,2018.0,1.0
131362,1.0,0.0,104745.0,0.0,185.0,29.8,104259.0,1.0,178.0,32.5,3.0,9.0,5.0,5595.0,27.0,1330.0,2016.0,0.0
178879,1.0,4.0,105138.0,1.0,183.0,26.9,104259.0,1.0,178.0,31.4,3.0,6.0,16.0,1940.0,25.0,1395.0,2015.0,0.0
67430,1.0,3.0,104755.0,1.0,185.0,31.9,104745.0,0.0,185.0,31.9,5.0,6.0,32.0,1395.0,1.0,8770.0,2018.0,1.0
107282,1.0,0.0,105550.0,0.0,185.0,28.9,105138.0,1.0,183.0,31.0,3.0,3.0,26.0,1445.0,21.0,1635.0,2019.0,1.0
89539,1.0,4.0,104925.0,1.0,188.0,33.3,105936.0,1.0,185.0,28.5,3.0,5.0,1.0,10860.0,29.0,1583.0,2020.0,0.0
159564,3.0,0.0,126774.0,1.0,193.0,21.1,103819.0,1.0,185.0,38.2,3.0,9.0,7.0,3740.0,3.0,6950.0,2019.0,1.0
71347,2.0,3.0,104925.0,1.0,188.0,32.1,103819.0,1.0,185.0,37.8,5.0,2.0,1.0,12415.0,3.0,6620.0,2019.0,0.0
65950,3.0,3.0,106421.0,1.0,198.0,22.9,105676.0,1.0,180.0,28.1,5.0,6.0,19.0,1865.0,22.0,1785.0,2019.0,0.0
132906,3.0,0.0,105777.0,1.0,188.0,29.4,111575.0,1.0,198.0,24.4,3.0,6.0,20.0,2215.0,18.0,2245.0,2020.0,0.0
63603,3.0,4.0,105777.0,1.0,188.0,31.2,200282.0,1.0,183.0,23.4,3.0,6.0,19.0,1775.0,21.0,1585.0,2022.0,1.0
173548,1.0,4.0,105777.0,1.0,188.0,23.9,104527.0,1.0,183.0,30.0,3.0,5.0,11.0,3055.0,9.0,4405.0,2015.0,0.0
111236,3.0,4.0,106378.0,1.0,188.0,23.7,100644.0,1.0,198.0,21.4,3.0,3.0,14.0,1990.0,5.0,4755.0,2018.0,1.0
151423,3.0,0.0,106401.0,1.0,193.0,21.8,104542.0,1.0,188.0,31.8,3.0,9.0,16.0,2165.0,11.0,3230.0,2017.0,1.0
44530,3.0,3.0,104792.0,1.0,193.0,33.3,106233.0,1.0,185.0,26.3,5.0,5.0,10.0,2565.0,5.0,5890.0,2020.0,1.0
80400,3.0,0.0,105227.0,1.0,198.0,30.8,106421.0,1.0,198.0,23.4,3.0,3.0,17.0,1940.0,10.0,2625.0,2019.0,1.0
69775,3.0,4.0,105683.0,1.0,196.0,29.8,106421.0,1.0,198.0,24.7,3.0,9.0,17.0,2265.0,5.0,5980.0,2020.0,1.0
138087,1.0,3.0,111575.0,1.0,198.0,26.0,111815.0,0.0,188.0,26.7,5.0,6.0,25.0,1620.0,11.0,3455.0,2022.0,0.0
187643,1.0,3.0,104925.0,1.0,188.0,33.3,105807.0,1.0,188.0,29.2,5.0,3.0,1.0,11260.0,18.0,2130.0,2020.0,0.0
3272,3.0,4.0,105227.0,1.0,198.0,31.0,104527.0,1.0,183.0,34.5,3.0,6.0,24.0,1500.0,16.0,1910.0,2019.0,1.0
65620,1.0,4.0,126774.0,1.0,193.0,23.7,105777.0,1.0,188.0,30.9,3.0,5.0,5.0,5690.0,20.0,1750.0,2022.0,0.0
19143,3.0,4.0,111815.0,0.0,188.0,25.9,104545.0,1.0,206.0,36.3,3.0,7.0,31.0,1975.0,26.0,2238.0,2021.0,1.0
201953,1.0,4.0,126774.0,1.0,193.0,22.7,134770.0,1.0,183.0,22.3,3.0,5.0,5.0,7910.0,22.0,2340.0,2021.0,1.0
110531,1.0,4.0,128034.0,1.0,196.0,25.1,105777.0,1.0,188.0,30.9,3.0,3.0,14.0,2873.0,29.0,1458.0,2022.0,1.0
182337,3.0,4.0,104731.0,1.0,203.0,29.2,106058.0,1.0,185.0,22.8,3.0,6.0,15.0,1955.0,30.0,1205.0,2015.0,0.0
170997,3.0,4.0,105777.0,1.0,188.0,26.4,104745.0,0.0,185.0,31.3,3.0,3.0,9.0,3455.0,1.0,9875.0,2017.0,1.0
32596,3.0,3.0,100644.0,1.0,198.0,23.8,104925.0,1.0,188.0,33.7,5.0,3.0,7.0,5615.0,1.0,12030.0,2021.0,1.0
68449,1.0,4.0,104180.0,0.0,193.0,34.9,100644.0,1.0,198.0,20.9,3.0,6.0,28.0,1465.0,4.0,4925.0,2018.0,1.0
62204,3.0,4.0,105453.0,1.0,178.0,25.1,104269.0,0.0,188.0,31.3,3.0,6.0,5.0,5415.0,31.0,1225.0,2015.0,0.0
78199,1.0,4.0,104607.0,1.0,196.0,27.6,104731.0,1.0,203.0,26.9,3.0,5.0,6.0,4760.0,27.0,1295.0,2013.0,0.0
42211,1.0,4.0,104022.0,1.0,183.0,30.8,104926.0,1.0,178.0,25.9,3.0,7.0,31.0,1220.0,25.0,1345.0,2013.0,0.0
160016,1.0,0.0,105208.0,1.0,190.0,25.7,104098.0,1.0,185.0,31.4,3.0,3.0,19.0,1890.0,32.0,1155.0,2014.0,0.0
